data,0-9 anni,10-19 anni,20-29 anni,30-39 anni,40-49 anni,50-59 anni,60-69 anni,70-79 anni,80-89 anni,≥90 anni
2020-03-10,13.571428571428571,19.857142857142858,112.0,200.28571428571428,354.7142857142857,535.2857142857143,498.0,556.8571428571429,432.2857142857143,91.0
2020-03-11,14.142857142857142,21.285714285714285,122.28571428571429,215.0,387.42857142857144,578.5714285714286,531.0,587.5714285714286,460.57142857142856,95.71428571428571
2020-03-12,16.571428571428573,25.0,138.42857142857142,250.28571428571428,436.14285714285717,650.1428571428571,597.4285714285714,652.7142857142857,508.7142857142857,106.28571428571429
2020-03-13,19.571428571428573,27.571428571428573,154.14285714285714,285.57142857142856,495.2857142857143,732.7142857142857,680.7142857142857,724.7142857142857,556.5714285714286,117.71428571428571
2020-03-14,23.714285714285715,31.428571428571427,171.14285714285714,313.7142857142857,560.1428571428571,825.5714285714286,764.7142857142857,791.4285714285714,602.0,127.0
2020-03-15,27.142857142857142,34.0,185.42857142857142,339.57142857142856,609.4285714285714,906.4285714285714,824.7142857142857,859.7142857142857,643.8571428571429,142.85714285714286
2020-03-16,27.857142857142858,35.285714285714285,195.85714285714286,361.7142857142857,644.5714285714286,987.7142857142857,887.7142857142857,905.1428571428571,676.2857142857143,157.57142857142858
2020-03-17,29.571428571428573,37.57142857142857,200.85714285714286,368.2857142857143,676.5714285714286,1038.7142857142858,917.4285714285714,926.1428571428571,707.8571428571429,174.0
2020-03-18,32.714285714285715,38.57142857142857,207.14285714285714,377.7142857142857,686.8571428571429,1069.2857142857142,943.0,949.2857142857143,737.5714285714286,188.57142857142858
2020-03-19,35.0,41.42857142857143,214.0,378.57142857142856,711.7142857142857,1114.142857142857,969.8571428571429,974.7142857142857,773.0,201.42857142857142
2020-03-20,37.285714285714285,47.285714285714285,221.57142857142858,382.42857142857144,719.1428571428571,1140.2857142857142,971.0,979.8571428571429,789.5714285714286,207.57142857142858
2020-03-21,39.714285714285715,51.0,227.71428571428572,381.85714285714283,709.0,1138.4285714285713,952.7142857142857,974.8571428571429,813.1428571428571,223.57142857142858
2020-03-22,41.285714285714285,58.714285714285715,241.71428571428572,385.57142857142856,713.5714285714286,1126.2857142857142,929.2857142857143,950.2857142857143,827.0,241.85714285714286
2020-03-23,41.857142857142854,61.57142857142857,251.57142857142858,375.14285714285717,709.8571428571429,1107.7142857142858,898.7142857142857,914.1428571428571,835.4285714285714,253.71428571428572
2020-03-24,40.857142857142854,62.857142857142854,261.14285714285717,380.7142857142857,705.2857142857143,1085.5714285714287,873.1428571428571,893.8571428571429,835.8571428571429,255.0
2020-03-25,40.714285714285715,63.857142857142854,260.42857142857144,373.57142857142856,692.0,1052.5714285714287,832.7142857142857,857.0,829.8571428571429,261.42857142857144
2020-03-26,40.142857142857146,65.85714285714286,264.7142857142857,370.7142857142857,675.8571428571429,1007.1428571428571,774.0,805.7142857142857,828.2857142857143,287.0
2020-03-27,37.714285714285715,68.71428571428571,274.7142857142857,376.42857142857144,677.7142857142857,971.4285714285714,723.0,754.2857142857143,840.5714285714286,315.0
2020-03-28,33.57142857142857,70.42857142857143,281.0,384.2857142857143,666.7142857142857,944.0,686.0,699.2857142857143,831.2857142857143,332.0
2020-03-29,32.142857142857146,66.0,278.57142857142856,376.2857142857143,656.0,920.7142857142857,651.8571428571429,662.8571428571429,815.1428571428571,336.57142857142856
2020-03-30,33.0,67.71428571428571,273.57142857142856,377.85714285714283,631.4285714285714,864.5714285714286,597.0,618.8571428571429,802.0,338.57142857142856
2020-03-31,34.142857142857146,69.85714285714286,271.0,372.42857142857144,614.1428571428571,826.5714285714286,569.1428571428571,592.1428571428571,789.4285714285714,341.57142857142856
2020-04-01,31.285714285714285,70.14285714285714,269.85714285714283,371.42857142857144,607.4285714285714,813.7142857142857,553.1428571428571,573.4285714285714,783.2857142857143,347.85714285714283
2020-04-02,28.857142857142858,68.14285714285714,265.0,364.85714285714283,583.8571428571429,783.0,523.7142857142857,539.4285714285714,769.5714285714286,352.2857142857143
2020-04-03,29.285714285714285,65.28571428571429,253.14285714285714,346.14285714285717,555.8571428571429,751.0,492.85714285714283,511.14285714285717,747.8571428571429,352.14285714285717
2020-04-04,29.857142857142858,67.0,262.7142857142857,339.85714285714283,545.4285714285714,718.2857142857143,466.0,499.7142857142857,766.0,376.7142857142857
2020-04-05,29.571428571428573,68.85714285714286,260.14285714285717,336.7142857142857,533.1428571428571,688.8571428571429,444.85714285714283,488.42857142857144,799.1428571428571,408.85714285714283
2020-04-06,27.857142857142858,69.71428571428571,256.2857142857143,332.57142857142856,525.7142857142857,677.2857142857143,434.85714285714283,496.7142857142857,868.0,466.7142857142857
2020-04-07,27.571428571428573,68.0,254.28571428571428,327.0,517.4285714285714,668.1428571428571,413.2857142857143,478.85714285714283,878.1428571428571,490.14285714285717
2020-04-08,27.428571428571427,67.0,249.42857142857142,314.0,501.2857142857143,641.0,394.7142857142857,466.7142857142857,865.2857142857143,498.7142857142857
2020-04-09,26.714285714285715,62.285714285714285,234.0,286.14285714285717,457.0,574.1428571428571,362.14285714285717,441.0,836.5714285714286,486.0
